date,new_cases,new_deaths,new_tests,year,month,day,weekday,total_cases,total_deaths,total_tests,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,cases_per_Mill,deaths_per_Mill,tests_per_Mill
2019-12-31,0.0,0.0,,2019,12,31,1,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-01,0.0,0.0,,2020,1,1,2,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-02,0.0,0.0,,2020,1,2,3,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-03,0.0,0.0,,2020,1,3,4,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-04,0.0,0.0,,2020,1,4,5,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-05,0.0,0.0,,2020,1,5,6,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-06,0.0,0.0,,2020,1,6,0,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-07,0.0,0.0,,2020,1,7,1,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-08,0.0,0.0,,2020,1,8,2,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-09,0.0,0.0,,2020,1,9,3,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-10,0.0,0.0,,2020,1,10,4,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-11,0.0,0.0,,2020,1,11,5,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-12,0.0,0.0,,2020,1,12,6,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-13,0.0,0.0,,2020,1,13,0,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
2020-01-14,0.0,0.0,,2020,1,14,1,0.0,0.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084,0.0,0.0,
